MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT
MATERIEL KO : Tiroir pas de rendu monnaie;pas de rendu monnaie;Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;reboot UC test ouverture avec pression sur le tiroir si bruit d'enclenchement mais pas d'ouverture ==> Objet bloquant si pas de bruit verification OPOS si KO DI;P3;SYM0167; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
HORS PERIMETRE;Multiprise KO;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE \ HORS PERIMETRE \ HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;Changement de la multiprise via le CSI / electricien. AFFECTATION du ticket dans bannette  FR METIER N2 CSI PROXIMITE + envoi mail et clôturer le CARE;P3;SYM0168; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
MATERIEL KO : Scanner article non reconnu;Scanner : article non reconnu;Scanner optique;Materiel;Caisse;Materiel \ Caisse \ Scanner optique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;debrancher/rebrancher le scanner + OPOS + PLANCHE, si NOK DI;P3;SYM0170; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Scanner \ reparation / Remplacement;; 
MATERIEL KO : Tiroir cable abime;Pb tiroir cable abime;Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;reboot UC test ouverture avec pression sur le tiroir si bruit d'enclenchement mais pas d'ouverture ==> Objet bloquant si pas de bruit verification OPOS si KO DI;P3;SYM0171; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
MATERIEL KO : Imprimante voyant error allume;IMP : Voyant error allume.;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;Selftest / debr/reb l'imprimante + verification nbre cable branche imp si KO DI;P3;SYM0172; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
MATERIEL KO : Balance reste sur traitement pesee;"Balance  reste sur ""traitement pesee""";Parametrage / Tare;Materiel Balance;Berkel;Materiel Balance \ Berkel \ Parametrage / Tare;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;925/924 + réapplication Opos via le 9032 pour vérifier si la balance est bien configurée;P3;SYM0173; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Parametrage / Tare;; 
MONETIQUE : verification Eportal;demande de verifier les transactions caisse;eportal;Monetique;E-portal;Monetique \ E-portal \ Financement;AXIS-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Eportal : Code anabel et recherche;P4;SYM0176;A/U : Oui; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
DEMANDE LES CODES CAISSIERS;Demande les codes des caissiers;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caissier;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Sur VLP, caissiers;P4;SYM0183; ; ; ;FU; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caissier;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE ETIQUETTE LNE POUR CONFORMITE BALANCE;Demande une etiquette LNE pour la conformite de sa balance;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;05 - Demande de service;MATERIEL; ;P3;SYM0185; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Vignette conformite;; 
VLCC : Transfert BL;Credit client : Transfert BL sur VLCC;Probleme BL;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Probleme BL;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Transfert BL;P3;SYM0188;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Probleme BL;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
ANNULATION TICKET ENCAISSE AVEC CARTE TICKET RESTAURANT;Un ticket a ete encaisse en carte ticket restaurant et le magasin veut annuler ce ticket;Ticket restaurant dematerialise;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Ticket restaurant dematerialise;AXIS-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Pas de remboursement carte Ticket restaurant.;P3;SYM0195;A/U : Oui; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
DEMANDE DE RESSORTIR LES EDITIONS DE CLOTURE (NON GENEREE);Magasin demande de lui imprimer les editions de cloture mais elles ne sont pas disponible a l'endroit habituel;Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;01 - Défaillance applicative;SERVICE UTILISATEUR;Les éditions de clôture ne se sont pas générée pendant la nuit il faut passer par VLP pour imprimer le financier statistique caissier;P4;SYM0196; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : Imprimante bruit mecanique anormal;Imprimante : bruit mecanique anormale;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;DI;P3;SYM0197; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
MONETIQUE : Cheque illisible;Cheque illisible;Cheque;Monetique;Moyen de paiement ;Monetique \ Moyen de paiement \ Cheque;AXIS-FR;05 - Demande de service;MONETIQUE;DI;P4;SYM0198; ; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
MATERIEL KO : Imprimante voyant feed allume;IMP :  Voyant feed clignote ;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;deb/reb + selftest;P3;SYM0200; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
MATERIEL KO : Balance certification KO;Pb balance, controle berkel, bulletin de refus;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;Certification à demander, voir avec le CSI. AFFECTATION du ticket dans bannette  FR METIER N2 CSI PROXIMITE + envoi mail et clôturer le CARE;P3;SYM0204; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Vignette conformite;; 
MATERIEL KO : Scanner cable abime;Scanner : Cable abime ;Scanner optique;Materiel;Caisse;Materiel \ Caisse \ Scanner optique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;debrancher/rebrancher le scanner + OPOS + PLANCHE, si NOK DI;P3;SYM0206; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Scanner \ reparation / Remplacement;; 
HORS PERIMETRE;N’arrive pas a ouvrir le poste musique et bureau/plus de musique dans le magasin; ;Back Office Proximite;Parametrage;Back Office Proximite \ Parametrage;METI STORE-FR;07 - Indéterminée;HORS PERIMETRE;Erreur SVI;P3;SYM0211; ; ; ; ; ; ; ;METI STORE-FR;Back Office Proximite \ Chiffre d'affaire \ Ecart CA;;FR IT SIC N1 BUREAUTIQUE
MATERIEL KO : Balance eteinte;Balance eteinte;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;deb/reb alim sur le transfo dans le meuble de la caisse;P3;SYM0212; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Reparation / Remplacement;; 
DEMANDE COMMENT ACTIVER UNE CARTE CADEAU;Demande comment activer les cartes cadeaux en caisse;Dematerialise;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Dematerialise;AXIS-FR;05 - Demande de service;MONETIQUE;Donner l'explication au magasin qu'il doit scanner le code d'activation lors de la vente quand la caisse indique de le faire;P3;SYM0213; ; ; ;1; ; ;1;AXIS-FR;Monetique \ Moyen de paiement \ Dematerialise;; 
CLOTURE KO;La cloture de hier n'est pas faite;Echec de cloture / Erreur;Encaissement;Cloture;Encaissement \ Cloture \ Echec de cloture;VLP PROXI-FR;01 - Défaillance applicative;CLOTURE KO;Verifier l'erreur de cloture;P3;SYM0218; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Cloture \ Echec de cloture;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC : BL manquant;BL manquant;Probleme BL;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Probleme BL;VLP PROXI-FR;01 - Défaillance applicative;AUTONOMIE UTILISATEUR;verification xml;P3;SYM0219;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Probleme BL;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC : Solder les factures client;Comment solder les factures credit client;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;règlement pièce;P4;SYM0221; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : Scanner plus de son lors du scan;"Le son du scanner fonctionne mais pas sur la caisse; pas de son sur les article inconnus";Scanner optique;Materiel;Caisse;Materiel \ Caisse \ Scanner optique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;debrancher/rebrancher le scanner + OPOS + PLANCHE, si NOK DI;P1;SYM0224; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Scanner \ reparation / Remplacement;; 
VLP - CAISSE : JUMP;Utilisation du JUMP;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Un jump permet de mettre en attente sur la caisse le ticket en cours et de le reprendre à tout moment. La bascule se fait au clic.;P3;SYM0226;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLP - CAISSE : Paiement smartphone;Bloquee apres paiement avec un smartphone ;Ticket restaurant dematerialise;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Ticket restaurant dematerialise;AXIS-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;INIT TPE + monetique (Guide de premier soins);P3;SYM0227;A/U : Oui; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
VLCC : BL facturé sur le mauvais client;BL effectue sur le mauvais client sur VLCC;Probleme BL;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Probleme BL;VLP PROXI-FR;05 - Demande de service;CREDIT CLIENT;Faire un BL en retour articles (scannée les mêmes articles par rapport à la TVA) du même montant sur le même client pour annuler ce BL;P3;SYM0229; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Probleme BL;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MONETIQUE : N A PAS EU SES TELECOLLECTE SUR SON COMPTE BANCAIRE;N'a pas eu une des telecollecte sur son compte (Eportal);Telecollecte;Monetique;E-porta;Monetique \ E-portal \ Telecollecte;AXIS-FR;05 - Demande de service;MONETIQUE;Verification sur Eportal / demande WorldLine si absente du eportal.;P3;SYM0231; ; ; ; ; ; ;1;AXIS-FR;Monetique \ E-portal \ Telecollecte;; 
"TPE KO : Apple PAY - Message ""Retirez Carte""";"Bloquee suite a un paiement via apple pay Message ""Retirez Carte"".";Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;AUTONOMIE UTILISATEUR;Faire une fct 955 pour remonter les transactions OFFLINE du TPE (si jamais y’en a) / RAZ DONNEE TOUTE APPLI / Fct 957 pour mettre à jour le TPE et vérifier le bon numéro de version.;P3;SYM0232;A/U : Oui; ; ; ; ; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;; 
PROCESS VLP : SUPERVLP;SuperVLp sens interdit;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;SERVICE UTILISATEUR;Redemarrage sdu service après verification clôture si erreur traiter la clôture.;P3;SYM0241; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC LES FACTURES NE SONT PAS SORTIES AUTOMATIQUEMENT A LA FIN DU MOIS;tous les comptes clients et etat de fin de mois ne sont pas sortis sur VLCC;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;05 - Demande de service;CREDIT CLIENT;Vérifier sur VLCC si les BL sont passés en facturer et imprimer les factures. Si les BL ne sont pas facturés il faut escalader le dossier au N2;P3;SYM0242; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Facture tardive;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TPE : Echec autorisation;"Lors d'un reglement CB le message ""Echec autorisation"" apparait";Paiement Offline / Degrade;Monetique;TPE;Monetique \ TPE \ Paiement Offline / Degrade;AXIS-FR;02 - Défaillance de l'infrastructure;MONETIQUE;Vérification réseau à effectuer et escalade si besoin. ;P1;SYM0247; ; ; ; ; ; ; ;AXIS-FR;Monetique \ TPE \ Paiement Offline / Degrade;;FR IT SIC N1_N2 RESEAU
TPE KO : SSC refuse;TPE - paiement sans contact refuse;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;MONETIQUE;fct955 / verification ssc , si ko creation dossier WorldLine pour contrat.;P3;SYM0248; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;50333394; 
TPE : Paiement refuse;"Message d'erreur ""paiement refuse"" apparait lors d'un reglement CB";Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;MONETIQUE;Effectuer une fonction 955 pour voir si les contrats sont OK. Si TOUS les paiements sont refusés il faut récupérer les logs et escalader à Ingenico.;P3;SYM0249; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;50333394; 
VLP - CAISSE : Clavier virtuel;bloquee sur le clavier virtuelle;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Fermeture du clavier virtuel, si caisse sur le bureau ==> chargement rapide.;P3;SYM0251;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TICKET RESTAURANT PAPIER PASSE AU MAUVAIS MONTANT;Lors du scan du titre restaurant papier, le prix affiche n'est pas le bon;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;05 - Demande de service;MONETIQUE;Essayez de rescanner le titre restaurant. Si le problème persiste il faut taper le code à la main en caisse;P3;SYM0252; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Encaissement \ Parametrage peripherique caisse \ Balance;; 
MATERIEL KO : Balance etiquette non conformite posee car absence de scellement;etiquette de non conformite a ete apposee sur la balance de la caisse pour absence de scellement sur instrument.;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;merci de faire passer Berkel au plus vite pour reparation et Revignettage.   ;P3;SYM0254; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Vignette conformite;; 
"LA CAISSE RESTE SUR ""FERMER TIROIR""";"bloquee sur ""fermer tiroir""";Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;reboot UC test ouverture avec pression sur le tiroir si bruit d'enclenchement mais pas d'ouverture ==> Objet bloquant si pas de bruit verification OPOS si KO DI;P3;SYM0257; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
MATERIEL KO : Balance impossible de faire une tar a 0;Balance : le poids affiche est pas bon , impossible de faire un tar-0 ;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;Tester une TAR a 0 avec le PDV. Si ça ne fonctionne toujours pas il faut débrancher/rebrancher la balance. Si toujours KO il faut déclencher une DI;P3;SYM0261; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Parametrage / Tare;; 
CHARGEMENT CAISSE : DR WATSON;Erreur Dr Watson;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;WATSON;fermeture de session;P4;SYM0262; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TPE KO : CARTE TICKET RESTAURANT;TPE : Probleme encaissement carte ticket restaurant;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;MONETIQUE;verification si nouveau magasin ==> Nouveau contrat temps d'attente : 15/21 jours de mise en fonctionnement. Si dejà fonctionne ==> Ouverture dossier WorldLine avec demande de verification contrat avec log  + exemple horodate.;P3;SYM0263; ; ; ; ; ; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;; 
CARTE CADEAU PASSE A 1 CENTIME EN CAISSE ET NE DEMANDE PAS DE CODE D ACTIVATION;scan carte cadeau, il n'y a pas la demande du code d'activation ni le montant. Prendre un exemple EAN.;Dematerialise;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Dematerialise;AXIS-FR;05 - Demande de service;MONETIQUE;Suivre l'action définie :;P3;SYM0264; ; ; ;1; ; ;1;AXIS-FR;Monetique \ Moyen de paiement \ Dematerialise;; 
DEMANDE REACTIVATION TIROIR CAISSE SUR VLP;reactivation du tiroir caisse;Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;reboot UC test ouverture avec pression sur le tiroir si bruit d'enclenchement mais pas d'ouverture ==> Objet bloquant si pas de bruit verification OPOS si KO DI;P3;SYM0267; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
DEMANDE D ANNULER LE COMPTAGE EN CAISSE;Demande d'annuler le comptage en caisse;Gestion tiroir;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Gestion tiroir;VLP PROXI-FR;04 - Manque de formation utilisateur;GESTION TIROIR;Il faut appuyer sur ANNULER pour revenir en arriere;P3;SYM0268;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Gestion tiroir;49813768;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLP - CAISSE : Transfert de paiement;Demande de faire un transfert de reglement;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;En caisse, selection transfert. Selection du montant avec moyen de paiement(erreur) vers le moyen de paiement reel.;P3;SYM0269;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE ETIQUETTE CONFORMITE POUR TIROIR CAISSE;Demande etiquette de conformite pour son tiroir caisse (CE);Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;05 - Demande de service;MATERIEL;Impression ou envoie par mail de la feuille avec les étiquettes ;P3;SYM0273; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=Étiquettes CE; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
TPE : Carte non gérée;"Le message d'erreur ""Carte non geree"" apparait lors d'un reglement CB";Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;MONETIQUE;Le problème peut venir du profil du TPE (CB2A / SEPA). Il faut ouvrir un ticket chez ingenico avec les logs.;P3;SYM0275; ; ; ; ; ; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;; 
MATERIEL KO : Imprimante voyant paper out;IMP : Voyant paper out allume;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;Verification du rouleau papier;P3;SYM0277; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
MATERIEL KO : Imprimante voyant err allume;Le voyant err est allume;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;Deconnexion faire un fct98, si ko verification des branchement en //, voir sur le serveur. Un hard reboot peut être necessaire.;P3;SYM0284; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
UN APPORT CAISSE A ETE FAIT PAR ERREUR;Le caissier a fait un apport fond par erreur et demande de le retirer;Parametrage caissier;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Gestion tiroir;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Il faut modifier l'apport fond en gestion tiroir sur VLP ;P3;SYM0286;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Gestion tiroir;49813768;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : SWITCH AUCUN VOYANT ALLUME;Le switch ne fonctionne plus. Le voyant ne s'allume plus.;Materiel;Reseaux-Telecoms-Securite;LAN Switch;Reseaux-Telecoms-Securite \ LAN Switch \ Materiel;NETWORK-WW;08 - Matériel défectueux;MATERIEL;deb/reb ou A/R, si reste eteint envoye le dossier vers reseau;P3;SYM0287; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;;FR IT SIC N1_N2 RESEAU
TPE : Insertion CB difficle;Les CB s'inserent mal dans la fente du TPE;TPE classique;Materiel ;Caisse;Materiel \ Caisse \ TPE classique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;nettoyage insertion si KO, DI TPE;P3;SYM0293; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ TPE autonome \ Nettoyage;; 
PROCESS METIER : TABAC;Verification code lie TABAC ; ;Back Office Proximite;Parametrage;Back Office Proximite \ Parametrage;METI STORE-FR;01 - Défaillance applicative;PROCESS METIER;Process couple METI, verifie la presence du code lie dans la structure article avec le code EAN;P3;SYM0296; ; ; ; ; ; ; ;METI STORE-FR;Back Office Proximite \ Chiffre d'affaire \ Ecart CA;;FR IT SIC N1_N2_MAGASINS_PROXI
DEMANDE SI IL EST POSSIBLE DE GENERER UNE FACTURE CAR LE CLIENT A REGLE LE BL EN CAISSE;Demande si il est possible de generee des bon de livraison et des factures sur un credit client qui souhaite regler en caisse directement.;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;"Si le BL a été réglé en caisse il n'y aura pas de facture sur VLCC. Si le magasin souhaite une facture nous devons enlevé le statut ""solde"" du BL pour le repasser en ""non facture"" afin d'editer une nouvelle facture";P3;SYM0300; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : Scanner faisceau allumé mais pas de bip;Le faisceau du scanner est allume mais aucun bip et aucun article apparait sur la caisse;Scanner optique;Materiel;Caisse;Materiel \ Caisse \ Scanner optique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;debrancher/rebrancher le scanner + OPOS + PLANCHE, si NOK DI;P3;SYM0305; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Scanner \ reparation / Remplacement;; 
TPE KO : FICHIER PLEIN;TPE : fichier plein;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;MONETIQUE;faire un fct955;P3;SYM0310; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;50333394; 
TPE : Module SSC HS;TPE : module NFC partiellement detruit;TPE classique;Materiel ;Caisse;Materiel \ Caisse \ TPE classique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;DI;P3;SYM0311; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ TPE autonome \ Reparation / Remplacement;; 
SOUHAITE MODIFIER LE SEUIL DE PRELEVEMENT ESPECE SUR VLP;Modification du seuil de prelevement;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demmande de service;SERVICE UTILISATEUR;Il faut modifier le mode de règlement ESPECE sur VLP;P3;SYM0312; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50029639; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;50029639;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE UNE MODIFICATION GESTION TIROIR EN J-1;Demande de gestion de tiroir a j -1.;Gestion tiroir;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Gestion tiroir;VLP PROXI-FR;04 - Manque de formation utilisateur;GESTION TIROIR;Vérification FI et des erreurs éventuelles.;P3;SYM0318;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Gestion tiroir;49813768;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
