Enseigne;sycron;anabel;adresse;cp;villes;telephone;serveur;caisse;Type caisse;Msge;NCR;DN;Trt sco
CONTACT\0588 PECQUENCOURT;588;8785;32, RUE COLLIEZ;59146;PECQUENCOURT;33327915836;LV1;02K_WM3;M3;#REF!;;;
CONTACT\0592 RENWEZ;592;8700;ROUTE DE LONNY;8150;RENWEZ;33324549325;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0595 TARGON;595;7397;ROUTE DE BORDEAUX - LIEU DIT PIDOC NORD;33760;TARGON;33557344223;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0596 ROUVROY;596;5132;RUE DU GENERAL DE GAULLE;62320;ROUVROY;33321751729;LV1;02K_WM3;M3;#REF!;;;
CONTACT\0598 SANTES;598;8791;Les Jardins du Blanc Balot - 2 rue du Coeur Joyeux;59211;SANTES;33320078981;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0600 SAINT NICOLAS DE LA GRAVE;600;5586;AVENUE DES ECOLES;82210;SAINT NICOLAS DE LA GRAVE;33563959223;LV4;04K_WM3;M3;#REF!;;;
CONTACT\0603 ESCAUDAIN;603;8767;20 PLACE LEON GAMBETTA;59124;ESCAUDAIN;33327323155;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0604 AGEN;604;7427;LES HALLES CENTRALES - PLACE JEAN-BAPTISTE DURAND;47000;AGEN;33553489043;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0608 ABONDANT - SARL VALANTAMA;608;7101;ZAC LE BOUTOIN;28410;ABONDANT;33237487454;LV1;03K_WM3_L5000-USB;M3;#REF!;;;
CONTACT\0612 SAINT GREGOIRE;612;7018;CENTRE COMMERCIAL LA FORGE;35760;SAINT GREGOIRE;33299689567;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0613 PITHIVIERS;613;8911;6 RUE DE SENIVES;45300;PITHIVIERS;33238300359;LV1;02K_WM3;M3;#REF!;;;
CONTACT\0617 MARTIGNE BRIAND;617;7035;RUE D'ANJOU;49540;MARTIGNE BRIAND;33241594282;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0621 CROZON;621;7004;7, RUE D'ALSACE LORRAINE;29160;CROZON;33298270608;LV1;07K_WM3;M3;#REF!;;;
CONTACT\0623 BREST LE GUELMEUR;623;7001;4, RUE AUGUSTE RODIN - LE GUELMEUR;29200;BREST;33298022591;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0624 LA COUARDE - SA DISTRICOUARDE;624;7289;27, AVENUE LE MAIL BP 19;17670;LA COUARDE SUR MER;33546298311;LV2;05K_WM3;M3;#REF!;;;
CONTACT\0625 ROUFFIGNAC;625;7308;LES PLATEAUX DE GRAULET;24580;ROUFFIGNAC;33553050534;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0626 FREYMING MERLEBACH;626;8737;PLACE DU MARCHE;57800;FREYMING MERLEBACH;33387049089;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0627 LE GUILVINEC;627;7005;1 RUE DES MOULINS;29730;LE GUILVINEC;33298581884;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0629 PLOUGUERNEAU;629;7010;DOUAR NEVEZ;29880;PLOUGUERNEAU;33298047869;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0630 SOUCELLES;630;7038;11, RUE DU VIEUX PORT;49140;SOUCELLES;33241322291;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0632 SAINT MALO - PARAME;632;7019;AVENUE FONTENELLES;35400;SAINT MALO;33299565161;LV1;05K_WM3;M3;#REF!;;;
CONTACT\0633 TOUROUVRE;633;7071;6 RUE DES FRERES JUCHEREAU;61190;TOUROUVRE;33233257342;LV4;03K_WM3;M3;#REF!;;;
CONTACT\0634 AVOINE;634;7107;11 place Emile Zola;37420;AVOINE;33247584120;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0636 CLEGUEREC;636;7053;8, RUE DU STADE;56480;CLEGUEREC;33297380293;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0638 SENE;638;7065;C.C LES LILAS;56860;SENE;33297665461;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0639 BAIS;639;7048;PRE DE L'AUBRIERE;53160;BAIS;33243379932;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0640 SAINT PIERRE DE PLESGUEN;640;7020;RUE DE LA LIBERATION;35720;SAINT PIERRE DE PLESGUEN;33299739936;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0642 THENON;642;7362;28 AVENUE DE LA LIBERATION RN 89;24210;THENON;33553056500;LV1;06K_WM3;M3;#REF!;;;
CONTACT\0643 CONTY;643;5143;RUE HENRI DUNANT;80160;CONTY;33322412566;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0644 VALMONT;644;8904;9 RUE ALBERT BELLAVOINE;76540;VALMONT;33235298348;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0647 ALLONNES;647;7031;25 RUE ALBERT POTTIER;49650;ALLONNES;33241520072;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0651 LA CHAPELLE D ANDAINE;651;7069;ZI LES FOURMIS;61140;LA CHAPELLE D ANDAINE;33233306240;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0653 FORTSCHWIHR;653;8744;22 ROUTE DE COLMAR;68320;FORTSCHWIHR;33389491061;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0654 MINIAC MORVAN;654;7016;ROUTE DE COMBOURG;35540;MINIAC MORVAN;33299585882;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0657 NANTES LOU BREIL;657;7027;6 rue Le Lou Breil;44100;NANTES;33240733496;LV1;05K_WM3_6SCO-NCR;M3;#REF!;NCR;;NCR
CONTACT\0660 CERILLY;660;7198;2 AVENUE JEAN JAURES;3350;CERILLY;33470675757;LV1;02K_WM3;M3;#REF!;;;
CONTACT\0663 COSSE LE VIVIEN;663;7049;ZA ROUTE DE CRAON;53230;COSSE LE VIVIEN;33243983696;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0664 BOURBRIAC;664;5168;BLD D'ARMOR;22390;BOURBRIAC;33296434328;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0665 BREZOLLES - SARL PASTEL;665;7104;RUE DE PARIS;28270;BREZOLLES;33237483510;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0666 LOUVERNE;666;7050;ROUTE DE SAINT-JEAN DE LA MAYENNE;53950;LOUVERNE;33243906931;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0667 LIEUREY;667;7141;RUE DE LA CROIX VIGNON;27560;LIEUREY;33232560312;LV3;03K_WI2;S2;#REF!;;;
CONTACT\0670 BECHEREL;670;7015;PLACE DE LA MAIRIE;35190;BECHEREL;33299668122;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0673 SIGOULES;673;7361;CENTRE CIAL LE BOURG;24240;SIGOULES;33553632392;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0674 LEGE CAP FERRET;674;7390;5 AVENUE DE LA PRESQU'ILE;33970;LEGE CAP FERRET;33557701895;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0677 LA CHAPELLE SAINT URSIN;677;7098;RUE DES ACACIAS;18570;LA CHAPELLE SAINT URSIN;33248480505;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0679 LA MONTAGNE;679;7025;CENTRE COMMERCIAL - LES GRANDS PRES;44620;LA MONTAGNE;33240029697;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0681 SAINT XANDRE;681;7293;RUE DU SPORT;17138;SAINT XANDRE;33546418014;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0682 NOYEN SUR SARTHE;682;7078;ZA DU TERTRE;72430;NOYEN SUR SARTHE;33243551515;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0685 MUIZON - SARL JENIE;685;8717;1 PLACE DU COMMERCE;51140;MUIZON;33326029066;LV1;02K_WM3;M3;#REF!;;;
CONTACT\0688 AMBRIERE LES VALLEES;688;7047;23 ROUTE DE MAYENNE;53300;AMBRIERE LES VALLEES;33243049746;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0689 SARBAZAN;689;7408;Route de Pau;40120;SARBAZAN;33558456652;LV3;03K_WM3;M3;#REF!;;;
CONTACT\0691 USSAC;691;7296;"""Lieudit """"Aux Combettes""""""";19270;USSAC;33555187313;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0692 ROMENAY;692;8753;Lieudit Champbresson;71470;ROMENAY;33358190302;LV1;03K_WM3_L5000-USB;M3;#REF!;;;
CONTACT\0693 LA NEUVILLE SUR RESSONS;693;8803;Lieudit Le Champ du Curé - Rue du Moulin;60490;LA NEUVILLE SUR RESSONS;33988042182;LV2;05K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CONTACT\0695 RINXENT;695;5130;138 RUE ROGER SALENGRO;62720;RINXENT;33321928955;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0696 SAINT AMAND EN PUISAYE;696;8742;56 ROUTE DE COSNE;58310;SAINT AMAND EN PUISAYE;33386397815;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0697 AUVERS SUR OISE - SARL AUVERDIS;697;7193;1 BIS RUE DU GAL DE GAULLE;95430;AUVERS SUR OISE;33130379949;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0698 HONDSCHOOTE;698;8775;17 rue du Général de Gaulle;59122;HONDSCHOOTE;33328625160;LV2;04K_WM3;M3;#REF!;;;
CONTACT\0699 ARTEMARE;699;7196;LES TERRASSES;1510;ARTEMARE;33479420420;LV2;04K_WM3;M3;#REF!;;;
CONTACT\0700 SAINT LOUBES;700;7395;AVENUE DE LA REPUBLIQUE;33450;SAINT LOUBES;33556204169;KO;KO;KO;#REF!;;;
CONTACT\0701 OYE PLAGE;701;5171;Grand Place;62215;OYE PLAGE;33321358093;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0703 RILHAC RANCON;703;7166;87 rue Jean Monet;87570;RILHAC RANCON;33555381548;LV1;05K_WM3;M3;#REF!;;;
CONTACT\0704 FAUVILLE EN CAUX;704;8638;Place Gaston Samson;76640;FAUVILLE EN CAUX;33235969718;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0705 NANTES SOURDILLES;705;7026;1 BLD SOURDILLES;44300;NANTES;33240495918;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0706 BELLEME;706;7068;21, RUE DE PARIS;61130;BELLEME;33233731109;LV1;03K_WM3_L5000-USB;M3;#REF!;;;
CONTACT\0707 CORMERY;707;8891;ZA DU BOIS JOLY;37320;CORMERY;33247432030;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0708 GIGEAN;708;7229;RN 113 - ROUTE DE BEZIERS;34770;GIGEAN;33467466066;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0709 LA CHEVROLIERE;709;7022;LIEUDIT LA CROIX MANGER;44118;LA CHEVROLIERE;33240043434;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0710 MANTES LA VILLE;710;7154;1 RUE DE L ILE DE FRANCE;78711;MANTES LA VILLE;33130923981;LV1;05K_WM3;M3;#REF!;;;
CONTACT\0711 BENEVENT L'ABBAYE;711;7100;ROUTE DE MARSAC;23210;BENEVENT L'ABBAYE;33555815090;LV2;05K_WM3;M3;#REF!;;;
CONTACT\0712 MUR DE BARREZ;712;7281;Avenue Cardinal Verdier;12600;MUR DE BARREZ;33565660344;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0713 LE BOIS DOINGT;713;7247;244 CHEMIN FORT MOLAIZE;69620;LE BOIS DOINGT;33474716912;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0714 LA BARRE EN OUCHE;714;7139;3 Grande Rue;27330;LA BARRE EN OUCHE;33232443313;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0719 GONDREVILLE;719;8728;106 Rue de la Bergerie - Zac de la Croix St Nicolas;54840;GONDREVILLE;33383623233;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0722 VOUNEUIL SOUS BIARD;722;7164;LA CROIX CADET;86580;VOUNEUIL SOUS BIARD;33549533511;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0723 BILLY MONTIGNY;723;8816;PLACE LECLERC;62420;BILLY MONTIGNY;;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0726 RANVILLE;726;5163;CC DES LONGS CHAMPS;14860;RANVILLE;33231780910;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0727 MONTHERME;727;8698;ROUTE DE BOGNY;8800;MONTHERME;33324530349;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0728 LIBOURNE;728;7392;25 PLACE ABEL SURCHAMP;33500;LIBOURNE;33557259674;LV1;05K_WM3;M3;#REF!;;;
CONTACT\0729 LEGE CAP FERRET;729;7391;26 AVENUE DES GOELANDS;33970;LEGE CAP FERRET;33557707171;KO;KO;KO;#REF!;;;
CONTACT\0731 SAINT ETIENNE DE TULMONT;731;7468;RUE DU STADE;82410;SAINT ETIENNE DE TULMONT;33563024860;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0732 TILLY SUR SEULLES;732;5165;1 RUE DE COURPERRON;14250;TILLY SUR SEULLES;33231808788;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0733 MELGVEN;733;7008;ROUTE DE CADOL;29140;MELGVEN;33298509346;LV4;04K_WM3;M3;#REF!;;;
CONTACT\0735 MESQUER;735;7024;ZA KERGOULINET RUE DES ARTISANS;44420;MESQUER;33240426333;LV3;05K_WM3;M3;#REF!;;;
CONTACT\0736 LARGENTIERE;736;7211;RUE DE LA CIGALIERE;7110;LARGENTIERE;33475398383;LV4;03K_WM3;M3;#REF!;;;
CONTACT\0738 PELUSSIN;738;7236;RUE DES BERLETTES;42410;PELUSSIN;33474851112;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0740 NYONS;740;7220;11 PLACE DE LA LIBERATION;26110;NYONS;33475265090;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0741 LA FERRIERE;741;8893;93 RUE NATIONALE;85280;LA FERRIERE;33251984164;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0742 TOURNAY;742;7453;AVENUE DE BAGNERES;65190;TOURNAY;33562353784;LV1;05K_WM3;M3;#REF!;;;
CONTACT\0760 MONTFERRAND LE CHATEAU;760;8712;2 rue du Centre;25320;MONTFERRAND LE CHATEAU;33381527070;LV4;04K_WM3;M3;#REF!;;;
CONTACT\0763 LA FERTE MACE;763;7070;9, avenue Thiers;61600;LA FERTE MACE;33233372055;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0768 LA BERNERIE;768;7021;9 RUE G. CLEMENCEAU;44160;LA BERNERIE;33251183901;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0772 ARREAU;772;7449;ROUTE DES LACS - DEPARTEMENTALE 929;65240;ARREAU;33562407365;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0773 NAILLOUX;773;7374;ZI DU TAMBOURET - AVENUE DE COCAGNE;31560;NAILLOUX;33562161910;LV1;04K_WI2;S2;#REF!;;;
CONTACT\0776 LARGENTIERE LA BESSE;776;7202;PLACE DE LA MAIRIE;5120;LARGENTIERE LA BESSE;33492231352;LV1;05K_WM3;M3;#REF!;;;
CONTACT\0777 SEPTEUIL;777;8677;10 PLACE DE LA MAIRIE;78790;SEPTEUIL;33130337473;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0779 MONDRAGON;779;8679;RN7 - GOURD DU BIDON;84430;MONDRAGON;33490511105;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0780 FLINES LES RACHES;780;7081;15 RUE DES RESISTANTS;59140;FLINES LES RACHES;33327916817;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0792 LE CHATELARD;792;5093;AVENUE DENIS THERME;73630;LE CHATELARD;33479880880;LV1;05K_WM3;M3;#REF!;;;
CONTACT\0793 CESSON SEVIGNE;793;8846;BVD DES METAIRIES BOURGCHEVREUIL;35510;CESSON SEVIGNE;33299832352;LV1;03K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CONTACT\0794 CUSTINES LECLERC;794;8858;42 AV DU GENERAL LECLERC;54670;CUSTINES;33383493301;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0799 SAINT DIE;799;8848;PLACE DES DEPORTES;88100;SAINT DIE;33329564650;LV1;03K_WI2;S2;#REF!;;;
CONTACT\0802 SEREZIN DU RHONE;802;8860;2 AVENUE DU DAUPHINE;69360;SEREZIN DU RHONE;33437701112;KO;KO;KO;#REF!;;;
CONTACT\0813 LYON CONFORMITE;813;8889;Carrefour Système d'Information France - Etage 0B;69003;LYON CEDEX;;KO;02K_WI2;S2;#REF!;;;
CONTACT\0815 VIBRAYE;815;5377;ROUTE DE LA FERTE BERNARD;72320;VIBRAYE;33243936707;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0818 AIRE SUR LA LYS;818;5559;20 RUE DU BOURG;62120;AIRE SUR LA LYS;33321953878;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0819 COUTANCES NORMANDIE;819;5565;RUE DE NORMANDIE;50200;COUTANCES;33233458713;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0820 PAGNY SUR MOSELLE;820;5566;5 AVENUE JEAN JAURES;54530;PAGNY SUR MOSELLE;33383817562;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0821 VAILLY SUR AISNE;821;5557;20 AVENUE JEAN JAURES;2370;VAILLY SUR AISNE;33323547207;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0836 SAINT SAUVEUR DE MONTAGUT;836;5573;ROUTE DE VALENCE;7190;SAINT SAUVEUR DE MONTAGUT;33475300646;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0838 GRENADE SUR L 'ADOUR;838;5575;ROUTE DE MONT MARSAN;40270;GRENADE SUR L'ADOUR;33558459120;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0840 DIEULOUARD;840;5577;1 AVENUE DU GENERAL DE GAULLE;54380;DIEULOUARD;33383238323;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0843 STIRING WENDEL;843;8944;18 RUE ST FRANCOIS;57350;STIRING WENDEL;33387874944;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0850 TESSY SUR VIRE;850;5581;28 ROUTE DE PONT-FARCY TESSY SUR VIRE;50420;TESSY BOCAGE;33233740904;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0853 PERLES ET CASTELET;853;5620;10 ALLEE DU BOIS D'ESQUIERS;9110;PERLES ET CASTELET;33561023590;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0856 ONS EN BRAY;856;8849;LE VIVIER DANGER - RN 31;60650;ONS EN BRAY;33344485386;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0857 BEYNAT;857;5598;ROUTE DEPARTEMENTALE 921;19190;BEYNAT;33555867900;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0859 EYMET;859;5599;1 CHEMIN DU BRETOU;24500;EYMET;33553739695;LV2;05K_WM3;M3;#REF!;;;
CONTACT\0860 BORNEL;860;5656;RUE LOUIS DENOUAL;60540;BORNEL;33344452626;LV2;04K_WM3;M3;#REF!;;;
CONTACT\0862 SAINT JULIEN L'ARS;862;5602;ROUTE DE POITIERS;86800;SAINT JULIEN L'ARS;33549893536;LV2;04K_WM3;M3;#REF!;;;
CONTACT\0874 SAINT JULIEN EN BORN;874;5619;LIEU DIT NADOT - ROUTE DES LACS;40170;SAINT JULIEN EN BORN;33558428028;LV1;06K_WM3;M3;#REF!;;;
CONTACT\0891 HATTEN;891;5635;ROUTE DEPARTEMENTALE 28;67690;HATTEN;33388866868;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0894 PLESSE;894;5645;11 BIS RUE DE CHARLES PERRON;44630;PLESSE;33228050449;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0897 MARSEILLE CAMOINS;897;5655;72 ROUTE DES CAMOINS;13011;MARSEILLE;33491344131;LV1;04K_WI2;S2;#REF!;;;
CONTACT\0899 SAINT MARTIN DE BELLEVUE;899;5627;LES DIACQUENOTS - RN20;74370;SAINT MARTIN DE BELLEVUE;33450458588;LV1;04K_WM3_L5000-USB;M3;#REF!;;;
CONTACT\0900 LA MOTHE SAINT HERAY;900;5653;ROUTE DE SAINT MAIXENT;79800;LA MOTHE SAINT HERAY;33549281811;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0902 PICAUVILLE;902;5650;RUE CORNU;50360;PICAUVILLE;33233415110;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0904 JUSSAC;904;5654;19 AVENUE DE LA PLAINE;15250;JUSSAC;33471637987;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0906 RONCHAMP;906;6175;1 RUE PLAIN;70250;RONCHAMP;33384207665;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0907 LANGON;907;5663;3 PLACE DU GENERAL DE GAULLE;33210;LANGON;33557980141;LV2;05K_WM3;M3;#REF!;;;
CONTACT\0915 SAINT AULAYE;915;5664;AU GRAND CHAMPS;24410;SAINT AULAYE;33553902900;LV2;02K_WI2;S2;#REF!;;;
CONTACT\0928 MARSEILLE BARA CHATEAU;928;6193;107 BOULEVARD BARA;13013;MARSEILLE;33967108806;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0931 CARGESE;931;6197;ROUTE DE PIANA;20130;CARGESE;33495264419;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0939 MERIGNAC;939;6204;1 AVENUE DU MARECHAL JUIN;33700;MERIGNAC;33556461572;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0943 VIRE;943;6220;RUE DE COLBERT;14500;VIRE;33231687913;LV2;03K_WM3;M3;#REF!;;;
CONTACT\0945 LALBENQUE;945;6212;LIEU-DIT AU CHÂTEAU D'EAU;46230;LALBENQUE;33565204960;LV2;04K_WM3;M3;#REF!;;;
CONTACT\0951 SOLIERS;951;6240;229 ROUTE DE CAEN;14540;SOLIERS;33231730854;LV1;03K_WM3;M3;#REF!;;;
CONTACT\0960 LAROQUE TIMBAUT;960;6236;ZAC DE BELJOUAN;47340;LAROQUE TIMBAUT;33553987878;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0961 VILLEJESUS;961;6285;LIEU DIT CLOS CHABAUT;16140;VILLEJESUS;33545232672;LV2;04K_WM3;M3;#REF!;;;
CONTACT\0962 SAINT CEZAIRE SUR SIAGNE;962;6242;2 BOULEVARD ANTOINE CRESP;6530;SAINT CEZAIRE SUR SIAGNE;33967304825;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0969 POEY DE LESCAR;969;6255;3 RUE PRINCIPALE;64230;POEY DE LESCAR;33559680030;LV1;04K_WI2;S2;#REF!;;;
CONTACT\0979 CHAPONOST CHAUSSES;979;6260;10 RUE JULES CHAUSSES;69630;CHAPONOST;33478452205;LV4;04K_WM3;M3;#REF!;;;
CONTACT\0982 SALLEBOEUF;982;6290;LIEU DIT LES TERRES DOUCES;33370;SALLEBOEUF;33556336825;LV4;04K_WI2;S2;#REF!;;;
CONTACT\0983 CADOURS LASSOULAN;983;6289;CHEMIN DE LASSOULAN;31480;CADOURS;;LV4;04K_WM3;M3;#REF!;;;
CONTACT\0986 THENEZAY;986;6301;30 PLACE DE L'HOTEL DE VILLE;79390;THENEZAY;33549630424;LV2;03K_WI2;S2;#REF!;;;
CONTACT\0988 CUGES LES PINS;988;6308;27 CHEMIN DE LA CURASSE;13780;CUGES LES PINS;33442362192;LV1;04K_WI2;S2;#REF!;;;
CONTACT\0989 MOURS SAINT EUSEBE;989;6307;AVENUE DAUPHINE PROVENCE;26540;MOURS SAINT EUSEBE;33475489771;LV1;03K_WI2;S2;#REF!;;;
CONTACT\0990 BIEVILLE BEUVILLE;990;6318;RUE DES ECOLES;14112;BIEVILLE BEUVILLE;33231443320;LV1;04K_WM3;M3;#REF!;;;
CONTACT\0994 ARCHIAC;994;6324;ZA DU TONNEAU;17520;ARCHIAC;33546701414;LV4;03K_WI2;S2;#REF!;;;
CONTACT\0995 BLAINVILLE SUR L EAU;995;6317;25 RUE PIERRE SEMARD;54076;BLAINVILLE SUR L EAU;33383757210;LV1;04K_WM3_L5000-USB;M3;#REF!;;;
CONTACT\0996 METZERVISSE;996;6330;RD 918;57940;METZERVISSE;33382560034;LV1;03K_WI2;S2;#REF!;;;
CONTACT\0998 SAINT GILLES;998;6320;35 RUE DE SAINT BRIEUC;35590;SAINT GILLES;33299644844;LV1;04K_WM3_L5000-USB;M3;#REF!;;;
CONTACT\1097 LALANDE DE FRONSAC;1097;5697;FATIDEUIL;33240;LALANDE DE FRONSAC;33557581699;LV2;03K_WI2;S2;#REF!;;;
CONTACT\1209 LIGNY LE CHATEL;1209;1677;13 AVENUE DE CHABLIS;89144;LIGNY LE CHATEL;33386474049;LV1;03K_WI2;S2;#REF!;;;
CONTACT\1282 SOULLANS;1282;1133;5 PLACE LEDESMA;85300;SOULLANS;33251684638;LV1;03K_WM3;M3;#REF!;;;
CONTACT\1326 LE COUDRAY MONTCEAUX;1326;5733;Cc Les Terrasses, avenue du Général de Gaulle ;91830;LE COUDRAY MONTCEAUX;33175660738;LV4;03K_E61;E61;#REF!;;;
CONTACT\1377 BOURG DES COMPTES;1377;5675;1 RUE DES NOUETTES;35890;BOURG DES COMPTES;33299574245;LV1;03K_WI2;S2;#REF!;;;
CONTACT\1433 THIAUCOURT;1433;6206;RUE DES PROMENADES;54470;THIAUCOURT;33383801953;LV1;03K_WM3;M3;#REF!;;;
CONTACT\1494 CHAROLLES;1494;5842;25 RUE DU GENERAL LECLERC;71120;CHAROLLES;33385531591;LV1;02K_WM3;M3;#REF!;;;
CONTACT\1509 LAVIT DE LOMAGNE;1509;5739;CHEMIN DE RAPIN;82120;LAVIT DE LOMAGNE;33563941112;LV1;03K_WI2;S2;#REF!;;;
CONTACT\1794 LES MATHES;1794;6291;3 BIS AV DE L OCEAN;17570;LES MATHES;33546236556;LV1;06K_WM3;M3;#REF!;;;
"CONTACT\1817 LUNEVILLE FORMATION				";1817;3;"84 RUE JEANNE D'ARC				";54300;"NANCY					";;LV4;01K_WM3;M3;#REF!;;;
CONTACT\2084 TELGRUC;2084;5843;2 RUE SAINT DIVY;29560;TELGRUC SUR MER;33298273493;KO;KO;KO;#REF!;;;
CONTACT\2186 NEUNG SUR BEUVRON;2186;6340;ZA DE LA CROUTE - ROUTE DE ROMORANTIN;41210;NEUNG SUR BEUVRON;33254831850;LV1;03K_WI2;S2;#REF!;;;
CONTACT\2208 RIAILLE;2208;6329;ZA LES FUSEAUX;44440;RIAILLE;33240060266;LV1;03K_WM3_L5000-USB;M3;#REF!;;;
CONTACT\2209 CHATELGUYON;2209;6353;ROUTE DE RIOM;63140;CHATELGUYON;33473862480;LV1;04K_WI2;S2;#REF!;;;
CONTACT\2210 VARETZ;2210;6339;AVENUE DU 11 NOVEMBRE;19240;VARETZ;33555850264;LV1;04K_WI2;S2;#REF!;;;
CONTACT\2242 BARR;2242;1653;QUAI DE L ABATTOIR;67140;BARR;33388087308;LV1;03K_WI2;S2;#REF!;;;
CONTACT\2243 ECKBOLSHEIM;2243;1645;55 AVENUE DU GENERAL DE GAULLE;67540;ECKBOLSHEIM;33388780224;LV1;03K_WI2;S2;#REF!;;;
CONTACT\2244 HOERDT;2244;1631;RUE DE LA RAPUBLIQUE;67720;HOERDT;33388517820;LV1;03K_WI2;S2;#REF!;;;
CONTACT\2245 LA WANTZENAU;2245;1572;18 RUE DES HEROS;67550;VENDENHEIM;33388962010;LV1;03K_WM3;M3;#REF!;;;
CONTACT\2246 SARRE UNION;2246;1586;RUE DU MAL. FOCHE;67260;SARRE UNION;33388002280;LV1;03K_WI2;S2;#REF!;;;
